"","submission_date","state","tot_cases","conf_cases","prob_cases","new_case","pnew_case","tot_death","conf_death","prob_death","new_death","pnew_death"
"1",2020-03-06,"NY",21,NA,NA,9,NA,0,NA,NA,0,NA
"2",2020-03-07,"NY",28,NA,NA,7,NA,0,NA,NA,0,NA
"3",2020-03-08,"NY",28,NA,NA,0,NA,0,NA,NA,0,NA
"4",2020-03-09,"NY",125,NA,NA,97,NA,0,NA,NA,0,NA
"5",2020-03-10,"NY",137,NA,NA,12,NA,0,NA,NA,0,NA
"6",2020-03-11,"NY",164,NA,NA,27,NA,0,NA,NA,0,NA
"7",2020-03-12,"NY",230,NA,NA,66,NA,0,NA,NA,0,NA
"8",2020-03-13,"NY",267,NA,NA,37,NA,0,NA,NA,0,NA
"9",2020-03-14,"NY",311,NA,NA,44,NA,0,NA,NA,0,NA
"10",2020-03-15,"NY",400,NA,NA,89,NA,1,NA,NA,1,NA
"11",2020-03-16,"NY",487,NA,NA,87,NA,1,NA,NA,0,NA
"12",2020-03-17,"NY",730,NA,NA,243,NA,1,NA,NA,0,NA
"13",2020-03-18,"NY",1043,NA,NA,313,NA,1,NA,NA,0,NA
"14",2020-03-19,"NY",1683,NA,NA,640,NA,5,NA,NA,4,NA
"15",2020-03-20,"NY",2694,NA,NA,1011,NA,15,NA,NA,10,NA
"16",2020-03-21,"NY",4145,NA,NA,1451,NA,21,NA,NA,6,NA
"17",2020-03-22,"NY",6123,NA,NA,1978,NA,24,NA,NA,3,NA
"18",2020-03-23,"NY",8570,NA,NA,2447,NA,31,NA,NA,7,NA
"19",2020-03-24,"NY",10761,NA,NA,2191,NA,39,NA,NA,8,NA
"20",2020-03-25,"NY",12955,NA,NA,2194,NA,52,NA,NA,13,NA
"21",2020-03-26,"NY",15865,NA,NA,2910,NA,59,NA,NA,7,NA
"22",2020-03-27,"NY",19237,NA,NA,3372,NA,96,NA,NA,37,NA
"23",2020-03-28,"NY",22552,NA,NA,3315,NA,107,NA,NA,11,NA
"24",2020-03-29,"NY",25745,NA,NA,3193,NA,119,NA,NA,12,NA
"25",2020-03-30,"NY",29044,NA,NA,3299,NA,155,NA,NA,36,NA
"26",2020-03-31,"NY",32656,NA,NA,3612,NA,211,NA,NA,56,NA
"27",2020-04-01,"NY",36273,NA,NA,3617,NA,275,NA,NA,64,NA
"28",2020-04-02,"NY",40572,NA,NA,4299,NA,395,NA,NA,120,NA
"29",2020-04-03,"NY",45704,NA,NA,5132,NA,508,NA,NA,113,NA
"30",2020-04-04,"NY",50398,NA,NA,4694,NA,566,NA,NA,58,NA
"31",2020-04-05,"NY",54480,NA,NA,4082,NA,1017,NA,NA,451,NA
"32",2020-04-06,"NY",58188,NA,NA,3708,NA,1197,NA,NA,180,NA
"33",2020-04-07,"NY",61897,NA,NA,3709,NA,1378,NA,NA,181,NA
"34",2020-04-08,"NY",67513,NA,NA,5616,NA,1545,NA,NA,167,NA
"35",2020-04-09,"NY",72910,NA,NA,5397,NA,1787,NA,NA,242,NA
"36",2020-04-10,"NY",78128,NA,NA,5218,NA,2024,NA,NA,237,NA
"37",2020-04-11,"NY",82150,NA,NA,4022,NA,2260,NA,NA,236,NA
"38",2020-04-12,"NY",85486,NA,NA,3336,NA,2443,NA,NA,183,NA
"39",2020-04-13,"NY",88268,NA,NA,2782,NA,2661,NA,NA,218,NA
"40",2020-04-14,"NY",91743,NA,NA,3475,NA,2882,NA,NA,221,NA
"41",2020-04-15,"NY",95477,NA,NA,3734,NA,3081,NA,NA,199,NA
"42",2020-04-16,"NY",99138,NA,NA,3661,NA,3247,NA,NA,166,NA
"43",2020-04-17,"NY",102290,NA,NA,3152,NA,3560,NA,NA,313,NA
"44",2020-04-18,"NY",105548,NA,NA,3258,79,3562,NA,NA,2,2
"45",2020-04-19,"NY",108350,NA,NA,2802,-79,3787,NA,NA,225,-2
"46",2020-04-20,"NY",110706,NA,NA,2356,NA,3940,NA,NA,153,NA
"47",2020-04-21,"NY",112365,NA,NA,1659,0,4107,NA,NA,167,0
"48",2020-04-22,"NY",114784,NA,NA,2419,0,4260,NA,NA,153,0
"49",2020-04-23,"NY",117605,NA,NA,2821,0,4407,NA,NA,147,0
"50",2020-04-24,"NY",121117,NA,NA,3512,0,4552,NA,NA,145,0
"51",2020-04-25,"NY",127030,NA,NA,5913,0,4715,NA,NA,163,0
"52",2020-04-26,"NY",129787,NA,NA,2757,0,4831,NA,NA,116,0
"53",2020-04-27,"NY",131507,NA,NA,1720,0,4947,NA,NA,116,0
"54",2020-04-28,"NY",132768,NA,NA,1261,0,5060,NA,NA,113,0
"55",2020-04-29,"NY",134850,NA,NA,2082,0,5170,NA,NA,110,0
"56",2020-04-30,"NY",136894,NA,NA,2044,0,5345,NA,NA,175,0
"57",2020-05-01,"NY",138624,NA,NA,1730,0,5442,NA,NA,97,0
"58",2020-05-02,"NY",140623,NA,NA,1999,0,5544,NA,NA,102,0
"59",2020-05-03,"NY",142084,NA,NA,1461,0,5651,NA,NA,107,0
"60",2020-05-04,"NY",143302,NA,NA,1218,0,5808,NA,NA,157,77
"61",2020-05-05,"NY",144318,NA,NA,1016,0,5907,NA,NA,99,0
"62",2020-05-06,"NY",145627,NA,NA,1309,0,6482,NA,NA,575,-77
"63",2020-05-07,"NY",147253,NA,NA,1626,0,6580,NA,NA,98,0
"64",2020-05-08,"NY",148624,NA,NA,1371,0,6657,NA,NA,77,0
"65",2020-05-09,"NY",149833,NA,NA,1209,0,6766,NA,NA,109,0
"66",2020-05-10,"NY",150978,NA,NA,1145,0,6867,NA,NA,101,0
"67",2020-05-11,"NY",151698,NA,NA,720,0,6947,NA,NA,80,0
"68",2020-05-12,"NY",152362,NA,NA,664,0,7045,NA,NA,98,0
"69",2020-05-13,"NY",153411,NA,NA,1049,0,7132,NA,NA,87,0
"70",2020-05-14,"NY",154506,NA,NA,1095,0,7211,NA,NA,79,0
"71",2020-05-15,"NY",155456,NA,NA,950,0,7279,NA,NA,68,0
"72",2020-05-16,"NY",156632,NA,NA,1176,0,7377,NA,NA,98,0
"73",2020-05-17,"NY",157528,NA,NA,896,0,7448,NA,NA,71,0
"74",2020-05-18,"NY",158141,NA,NA,613,0,7496,NA,NA,48,0
"75",2020-05-19,"NY",159024,NA,NA,883,0,7550,NA,NA,54,0
"76",2020-05-20,"NY",159820,NA,NA,796,0,7606,NA,NA,56,0
"77",2020-05-21,"NY",160783,NA,NA,963,0,7660,NA,NA,54,0
"78",2020-05-22,"NY",161670,NA,NA,887,0,7716,NA,NA,56,0
"79",2020-05-23,"NY",162660,NA,NA,990,0,7762,NA,NA,46,0
"80",2020-05-24,"NY",163392,NA,NA,732,0,7830,NA,NA,68,0
"81",2020-05-25,"NY",164033,NA,NA,641,0,7879,NA,NA,49,0
"82",2020-05-26,"NY",164535,NA,NA,502,0,7927,NA,NA,48,0
"83",2020-05-27,"NY",164997,NA,NA,462,0,7977,NA,NA,50,0
"84",2020-05-28,"NY",165682,NA,NA,685,0,8023,NA,NA,46,0
"85",2020-05-29,"NY",166285,NA,NA,603,0,8058,NA,NA,35,0
"86",2020-05-30,"NY",166909,NA,NA,624,0,8100,NA,NA,42,0
"87",2020-05-31,"NY",167467,NA,NA,558,0,8130,NA,NA,30,0
"88",2020-06-01,"NY",167947,NA,NA,480,0,8159,NA,NA,29,0
"89",2020-06-02,"NY",168663,NA,NA,716,0,8198,NA,NA,39,0
"90",2020-06-03,"NY",169213,NA,NA,550,0,8230,NA,NA,32,0
